NAME,2018,2010,2000,1990,1980
Baker,16765,16134,16741,15317,16134
Benton,93590,85579,78153,70811,68211
Clackamas,419425,375992,338391,278850,241911
Clatsop,39200,37039,35630,33301,32489
Columbia,51900,49351,43560,37557,35646
Coos,63275,63043,62779,60273,64047
Crook,22710,20978,19182,14111,13091
Curry,22915,22364,21137,19327,16992
Deschutes,188980,157733,115367,74958,62142
Douglas,111735,107667,100399,94649,93748
Gilliam,1985,1871,1915,1717,2057
Grant,7400,7445,7935,7853,8210
Harney,7380,7422,7609,7060,8314
Hood_River,25310,22346,20411,16903,15835
Jackson,219200,203206,181269,146389,132456
Jefferson,23560,21720,19009,13676,11599
Josephine,86395,82713,75726,62649,58855
Klamath,67960,66380,63775,57702,59117
Lake,8115,7895,7422,7186,7532
Lane,375120,351715,322959,282912,275226
Lincoln,48210,46034,44479,38889,35264
Linn,125575,116672,103069,91227,89495
Malheur,31925,31313,31615,26038,26896
Marion,344035,315335,284834,228483,204692
Morrow,11885,11173,10995,7625,7519
Multnomah,813300,735334,660486,583887,562647
Polk,82100,75403,62380,49541,45203
Sherman,1785,1765,1934,1918,2172
Tillamook,26395,25250,24262,21570,21164
Umatilla,80765,75889,70548,59249,58861
Union,26885,25748,24530,23598,23921
Wallowa,7175,7008,7226,6911,7273
Wasco,27200,25213,23791,21683,21732
Washington,606280,529710,445342,311554,245860
Wheeler,1450,1441,1547,1396,1513
Yamhill,107415,99193,84992,65551,55332
